,Smiles,elu1_smiles,elu2_smiles,ratio1,ratio2,Rf,Rf_type,DataSource,doi
81,CC(C)(C)Nc1nc2ccccc2cc1Br,CCCCCC,CCOC(C)=O,0.937438,0.062562,0.63,C,D4C,10.1021/acs.orglett.3c03742
82,CC(C)(C)Nc1cc(Br)c2ccccc2n1,CCCCCC,CCOC(C)=O,0.937438,0.062562,0.63,C,D4C,10.1021/acs.orglett.3c03742
83,CC(C)(C)Nc1ccc2c(Br)cccc2n1,CCCCCC,CCOC(C)=O,0.882244,0.117756,0.67,C,D4C,10.1021/acs.orglett.3c03742
84,CC(C)(C)Nc1ccc2ccc(Br)cc2n1,CCCCCC,CCOC(C)=O,0.937438,0.062562,0.7,C,D4C,10.1021/acs.orglett.3c03742
85,CC(C)(C)Nc1cc(Cl)c2cc(Br)ccc2n1,CCCCCC,CCOC(C)=O,0.937438,0.062562,0.52,C,D4C,10.1021/acs.orglett.3c03742
86,COc1cccc2nc(NC(C)(C)C)ccc12,CCCCCC,CCOC(C)=O,0.882244,0.117756,0.65,C,D4C,10.1021/acs.orglett.3c03742
87,c1ccc2nc(-n3cccn3)ccc2c1,CCCCCC,CCOC(C)=O,0.937438,0.062562,0.52,C,D4C,10.1021/acs.orglett.3c03742
88,c1ccc2nc(-n3ccnc3)ccc2c1,CCCCCC,CCOC(C)=O,0.428314,0.571686,0.33,C,D4C,10.1021/acs.orglett.3c03742
89,c1ccc2nc(-n3cnc4ccccc43)ccc2c1,CCCCCC,CCOC(C)=O,0.428314,0.571686,0.17,C,D4C,10.1021/acs.orglett.3c03742
90,c1ccc(Nc2nccc3ccccc23)cc1,CCCCCC,CCOC(C)=O,0.882244,0.117756,0.51,C,D4C,10.1021/acs.orglett.3c03742
91,CC(C)(C)Nc1nccc2ccccc12,CCCCCC,CCOC(C)=O,0.937438,0.062562,0.52,C,D4C,10.1021/acs.orglett.3c03742
92,CC(C)(C)Nc1nccc2c(Br)cccc12,CCCCCC,CCOC(C)=O,0.937438,0.062562,0.52,C,D4C,10.1021/acs.orglett.3c03742
93,CC(C)(C)Nc1nccc2cc(Br)ccc12,CCCCCC,CCOC(C)=O,0.882244,0.117756,0.6,C,D4C,10.1021/acs.orglett.3c03742
94,Cc1ccc2c(Nc3ccccc3)nccc2c1,CCCCCC,CCOC(C)=O,0.882244,0.117756,0.58,C,D4C,10.1021/acs.orglett.3c03742
95,c1ccc(Nc2cnc3ccccc3n2)cc1,CCCCCC,CCOC(C)=O,0.882244,0.117756,0.54,C,D4C,10.1021/acs.orglett.3c03742
96,CC(C)(C)Nc1ccc2ccc3cccnc3c2n1,CCCCCC,CCOC(C)=O,0.428314,0.571686,0.25,C,D4C,10.1021/acs.orglett.3c03742
97,c1ccc(N2CCCC2)nc1,CCOC(C)=O,,1.0,0.0,0.54,C,D4C,10.1021/acs.orglett.3c03742
98,c1ccc(N2CCOCC2)nc1,CCCCCC,CCOC(C)=O,0.428314,0.571686,0.61,C,D4C,10.1021/acs.orglett.3c03742
99,CC1CCCN(c2ccccn2)C1,CCCCCC,CCOC(C)=O,0.882244,0.117756,0.33,C,D4C,10.1021/acs.orglett.3c03742
